fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.002,0.0001,0.0036,0.0001,95.89999999999999,6.02,96.88,1.44,KNeighbors,2,2,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0022,0.0,0.0018,0.0,91.81,5.53,95.49,3.15,LinearSVC,2,2,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.143,0.0005,0.009,0.0006,97.24000000000001,3.7900000000000005,97.22,0.95,RandomForest,2,2,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0166,0.0006,0.0031,0.0001,94.48,5.64,96.53,1.22,XGB,2,2,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0914,0.0003,0.0023,0.0,95.89999999999999,6.02,97.22,0.95,MLP,2,2,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.002,0.0,0.0018,0.0,93.24,6.67,93.41000000000001,3.75,GaussianNB,2,2,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.002,0.0001,0.0036,0.0001,94.48,5.64,95.15,1.41,KNeighbors,3,3,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0022,0.0,0.0018,0.0,95.89999999999999,6.02,97.57000000000001,1.55,LinearSVC,3,3,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.1432,0.0005,0.0092,0.0,95.81,6.34,98.96000000000001,0.95,RandomForest,3,3,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0173,0.0005,0.0033,0.0002,91.71000000000001,8.83,97.57000000000001,0.96,XGB,3,3,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0926,0.0005,0.0023,0.0001,97.24000000000001,3.7900000000000005,97.57000000000001,1.55,MLP,3,3,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.002,0.0,0.0018,0.0,94.48,7.57,97.57000000000001,1.55,GaussianNB,3,3,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.002,0.0001,0.0036,0.0001,95.81,3.83,97.57000000000001,0.96,KNeighbors,4,4,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0022,0.0,0.0018,0.0,93.05,6.909999999999999,98.96000000000001,0.95,LinearSVC,4,4,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.1432,0.0003,0.0093,0.0,95.81,6.34,98.96000000000001,0.95,RandomForest,4,4,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0179,0.0003,0.0036,0.0001,95.81,6.34,98.96000000000001,0.95,XGB,4,4,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0959,0.001,0.0024,0.0002,98.67,2.98,98.61,0.77,MLP,4,4,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0023,0.0001,0.0019,0.0,94.48,7.57,98.96000000000001,0.95,GaussianNB,4,4,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0024,0.0,0.0043,0.0001,93.14,9.6,95.15,2.23,KNeighbors,5,4,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0025,0.0001,0.0019,0.0001,94.48,5.64,98.97,0.9400000000000001,LinearSVC,5,4,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.1458,0.0006,0.0096,0.0,98.67,2.98,100.0,0.0,RandomForest,5,4,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0189,0.0003,0.0044,0.0001,98.67,2.98,98.61,0.77,XGB,5,4,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0959,0.0004,0.0025,0.0001,97.24000000000001,3.7900000000000005,98.96000000000001,0.95,MLP,5,4,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0023,0.0001,0.0019,0.0,95.89999999999999,6.02,97.91,0.79,GaussianNB,5,4,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0023,0.0001,0.0041,0.0001,98.67,2.98,98.61,0.77,KNeighbors,6,5,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0025,0.0001,0.002,0.0,95.81,3.83,98.96000000000001,0.95,LinearSVC,6,5,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.147,0.0003,0.0097,0.0001,97.24000000000001,3.7900000000000005,98.96000000000001,0.95,RandomForest,6,5,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0199,0.0004,0.0046,0.0001,95.81,6.34,98.96000000000001,0.95,XGB,6,5,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.1004,0.0005,0.0026,0.0,98.67,2.98,98.61,0.77,MLP,6,5,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0023,0.0001,0.002,0.0,95.89999999999999,6.02,98.96000000000001,0.95,GaussianNB,6,5,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0023,0.0001,0.0042,0.0001,98.67,2.98,98.61,0.77,KNeighbors,7,5,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0026,0.0001,0.002,0.0,95.81,3.83,98.96000000000001,0.95,LinearSVC,7,5,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.1468,0.0006,0.0096,0.0,97.24000000000001,3.7900000000000005,98.96000000000001,0.95,RandomForest,7,5,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0199,0.0002,0.0046,0.0001,95.81,6.34,98.96000000000001,0.95,XGB,7,5,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0981,0.0006,0.0025,0.0,98.67,2.98,98.61,0.77,MLP,7,5,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0022,0.0,0.0019,0.0,95.89999999999999,6.02,98.96000000000001,0.95,GaussianNB,7,5,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0022,0.0001,0.0039,0.0001,97.24000000000001,3.7900000000000005,97.92,1.44,KNeighbors,8,6,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0024,0.0001,0.0019,0.0,97.24000000000001,3.7900000000000005,100.0,0.0,LinearSVC,8,6,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.1455,0.0003,0.0095,0.0001,98.67,2.98,100.0,0.0,RandomForest,8,6,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0198,0.0002,0.0047,0.0,97.33000000000001,5.96,98.61,0.77,XGB,8,6,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0996,0.0009,0.0024,0.0001,98.67,2.98,98.61,0.77,MLP,8,6,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0023,0.0001,0.0019,0.0,98.67,2.98,98.61,0.7799999999999999,GaussianNB,8,6,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0023,0.0001,0.0042,0.0001,98.67,2.98,98.61,0.77,KNeighbors,9,6,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0025,0.0001,0.0019,0.0,95.81,3.83,98.96000000000001,0.95,LinearSVC,9,6,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.1468,0.0006,0.0096,0.0001,97.24000000000001,3.7900000000000005,98.96000000000001,0.95,RandomForest,9,6,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0206,0.0005,0.0047,0.0,95.81,6.34,98.61,0.77,XGB,9,6,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0997,0.0005,0.0025,0.0,97.24000000000001,3.7900000000000005,98.61,0.77,MLP,9,6,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0023,0.0,0.002,0.0,97.33000000000001,5.96,98.61,0.77,GaussianNB,9,6,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0023,0.0,0.0042,0.0001,97.24000000000001,3.7900000000000005,98.27,1.22,KNeighbors,10,7,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.0026,0.0001,0.002,0.0001,98.67,2.98,100.0,0.0,LinearSVC,10,7,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
0.1467,0.0008,0.0094,0.0005,98.67,2.98,100.0,0.0,RandomForest,10,7,KGroups_max++,gini_importance,False,0:02:56.671490,0:02:57.806582,leukemia
